"keyword","count"
"within",104
"bang bang",103
"brought",103
"downtown",103
"eight",103
"holdin",103
"ive never",103
"moonlight",103
"one can",103
"rose",103
"rough",103
"sunday",103
"sweet love",103
"want go",103
"woh",103
"desire",102
"dont cry",102
"dont try",102
"fingers",102
"fix",102
"life oh",102
"lifes",102
"locked",102
"man im",102
"never find",102
"rap",102
"see can",102
"seems like",102
"smack",102
"workin",102
"back back",101
"bottles",101
"dance dance dance",101
"east",101
"go ahead",101
"hold hold",101
"job",101
"love wont",101
"making love",101
"plays",101
"plus",101
"real love",101
"rule",101
"swing",101
"woke",101
"beauty",100
"bill",100
"dime",100
"dont let go",100
"gimme gimme",100
"go now",100
"know mean",100
"know wanna",100
"letting",100
"love never",100
"love right",100
"never know",100
"pieces",100
"really love",100
"strength",100
"youre never",100
"youre still",100
"aint nothin",99
"alright alright",99
"deeper",99
"devil",99
"even know",99
"fat",99
"favorite",99
"golden",99
"got time",99
"im man",99
"like dont",99
"rock roll",99
"steal",99
"two three",99
"want see",99
"wash",99
"cant keep",98
"come take",98
"confused",98
"fellas",98
"get together",98
"glass",98
"gonna give",98
"hangin",98
"later",98
"little girl",98
"longer",98
"make move",98
"mans",98
"secrets",98
"tonight im",98
"want get",98
"welcome",98
"acting",97
"beating",97
"bomb",97
"can call",97
"falling love",97
"kissed",97
"leaves",97
"lift",97
"see face",97
"wave",97
"well well",97
"yes im",97
"aint never",96
"become",96
"deal",96
"get love",96
"grass",96
"guitar",96
"hmm",96
"im looking",96
"make wanna",96
"mary",96
"number one",96
"paid",96
"sail",96
"shouldnt",96
"smokin",96
"whoa oh oh",96
"worlds",96
"boss",95
"clouds",95
"gonna let",95
"got feeling",95
"know youll",95
"let hear",95
"lucky",95
"need need",95
"none",95
"now now",95
"plans",95
"ride ride",95
"run away",95
"shoot",95
"wanna dance",95
"youre youre",95
"cake",94
"dont love",94
"dough",94
"faces",94
"finger",94
"keeping",94
"lines",94
"mighty",94
"night night",94
"ooh wee",94
"smell",94
"talkin bout",94
"wherever",94
"will find",94
"will love",94
"wrote",94
"bird",93
"come now",93
"death",93
"dont dont",93
"everythings",93
"hotel",93
"lets make",93
"right im",93
"runs",93
"sippin",93
"stare",93
"surely",93
"thats just",93
"wet",93
"wild wild",93
"best friend",92
"cha",92
"chill",92
"coast",92
"every single",92
"friday",92
"get floor",92
"got get",92
"im coming",92
"like girl",92
"look back",92
"lying",92
"nobody else",92
"paper",92
"pour",92
"promises",92
"say youre",92
"solo",92
"surprise",92
"tender",92
"whatcha gonna",92
