"","Artist","Freq"
"55","alan jackson",4
"77","america",4
"105","ariana grande",4
"175","big sean",4
"197","blackstreet",4
"202","blondie",4
"215","bob",4
"241","bone thugsnharmony",4
"247","bow wow",4
"259","bread",4
"268","brian mcknight",4
"315","case",4
"350","chic",4
"385","colbie caillat",4
"460","debarge",4
"528","don henley",4
"567","eddie money",4
"569","eddie rabbitt",4
"629","fabolous",4
"639","fat joe",4
"657","florida georgia line",4
"674","frankie valli",4
"685","fun",4
"688","gary lewis  the playboys",4
"694","gavin degraw",4
"700","george benson",4
"703","george harrison",4
"727","gloria estefan",4
"728","gloria estefan and miami sound machine",4
"742","green day",4
"752","gym class heroes",4
"771","herb alpert",4
"827","jackson browne",4
"829","jade",4
"839","james taylor",4
"852","jason mraz",4
"893","jim croce",4
"909","jodeci",4
"910","jody watley",4
"911","joe",4
"916","joe simon",4
"953","jon secada",4
"968","juice newton",4
"985","karyn white",4
"1017","keyshia cole",4
"1033","kris kross",4
"1064","lifehouse",4
"1069","lil kim",4
"1092","lmfao",4
"1139","macklemore and ryan lewis",4
"1171","marvin gaye  tammi terrell",4
"1192","meat loaf",4
"1199","melissa etheridge",4
"1202","men at work",4
"1256","montell jordan",4
"1285","natalie cole",4
"1288","natasha bedingfield",4
"1291","naughty by nature",4
"1309","new edition",4
"1346","ohio players",4
"1410","peaches  herb",4
"1419","peter and gordon",4
"1446","pm dawn",4
"1448","poison",4
"1494","ray stevens",4
"1503","reo speedwagon",4
"1513","rick astley",4
"1536","roberta flack",4
"1553","ronnie milsap",4
"1577","sam smith",4
"1591","sara bareilles",4
"1593","savage garden",4
"1671","sonny  cher",4
"1678","soulja boy tell em",4
"1723","sweet",4
"1761","the allamerican rejects",4
"1783","the box tops",4
"1833","the gogos",4
"1834","the grass roots",4
"1859","the kinks",4
"1885","the notorious big",4
"1898","the pretenders",4
"1921","the stylistics",4
"1950","the young rascals",4
"1985","tom petty and the heartbreakers",4
"1997","tony orlando and dawn",4
"2027","ub40",4
"2041","vanessa williams",4
"2082","will smith",4
"2089","wilson phillips",4
"2090","wilson pickett",4
"2094","wiz khalifa",4
"2098","xscape",4
"2105","young jeezy",4
"2111","zac brown band",4
"6","1910 fruitgum company",3
"43","after 7",3
"57","alanis morissette",3
"68","all4one",3
"108","arrested development",3
"117","atlantic starr",3
"121","avicii",3
"125","az yet",3
"139","bananarama",3
"149","barry white",3
"151","bay city rollers",3
"160","belinda carlisle",3
"180","bill withers",3
"188","billy preston",3
"216","bob dylan",3
"230","bobby goldsboro",3
"233","bobby sherman",3
"243","bonnie raitt",3
"245","booker t  the mgs",3
"251","boys like girls",3
"277","bruce hornsby and the range",3
"318","cat stevens",3
"319","cathy dennis",3
"320","cc music factory",3
"321","cece peniston",3
"341","charlie rich",3
"342","cheap trick",3
"379","cliff richard",3
"388","collective soul",3
"423","da brat",3
"428","dan fogelberg",3
"464","deborah cox",3
"475","demi lovato",3
"502","dino",3
"508","dire straits",3
"515","dixie chicks",3
"529","don mclean",3
"538","donovan",3
"544","dr hook  the medicine show",3
